Grape0.6 BluffGod
-50 50
19950 -19950
39950 -39950
19950 -19950
19900 -19900
19800 -19800
19400 -19400
19300 -19300
19250 -19250
39250 -39250
19250 -19250
39250 -39250
39200 -39200
19200 -19200
18950 -18950
18850 -18850
18450 -18450
-1550 1550
18450 -18450
38450 -38450
58450 -58450
78450 -78450
78400 -78400
78300 -78300
98300 -98300
98200 -98200
98150 -98150
98050 -98050
98000 -98000
118000 -118000
138000 -138000
118000 -118000
138000 -138000
158000 -158000
138000 -138000
137900 -137900
137575 -137575
117575 -117575
117250 -117250
137250 -137250
137200 -137200
137100 -137100
137050 -137050
136950 -136950
136900 -136900
136800 -136800
136750 -136750
136650 -136650
116650 -116650
96650 -96650
96650 -96650
96550 -96550
116550 -116550
96550 -96550
96300 -96300
76300 -76300
96300 -96300
96200 -96200
95875 -95875
95775 -95775
115775 -115775
135775 -135775
155775 -155775
175775 -175775
175725 -175725
195725 -195725
175725 -175725
175725 -175725
175675 -175675
175575 -175575
175325 -175325
155325 -155325
155275 -155275
175275 -175275
174950 -174950
154950 -154950
134950 -134950
134850 -134850
134525 -134525
114525 -114525
114200 -114200
114100 -114100
94100 -94100
94000 -94000
93750 -93750
93650 -93650
93325 -93325
113325 -113325
112925 -112925
132925 -132925
132600 -132600
132500 -132500
132175 -132175
132075 -132075
152075 -152075
151975 -151975
171975 -171975
191975 -191975
211975 -211975
211875 -211875
211825 -211825
211725 -211725
211400 -211400
211300 -211300
191300 -191300
191200 -191200
191200 -191200
171200 -171200
191200 -191200
191100 -191100
190850 -190850
190750 -190750
170750 -170750
190750 -190750
190350 -190350
210350 -210350
210025 -210025
230025 -230025
250025 -250025
249925 -249925
229925 -229925
209925 -209925
209600 -209600
209500 -209500
229500 -229500
209500 -209500
229500 -229500
249500 -249500
269500 -269500
269400 -269400
269350 -269350
269250 -269250
269000 -269000
268900 -268900
288900 -288900
268900 -268900
288900 -288900
308900 -308900
308850 -308850
328850 -328850
328600 -328600
308600 -308600
328600 -328600
308600 -308600
308550 -308550
308450 -308450
308400 -308400
